Sequence,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_2229,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_2230,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelatoclostridiaceae  ,Erysipelatoclostridium   ,Clostridium spiroforme
ASV_2231,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,uncultured organism
ASV_2232,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_2233,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,metagenome 
ASV_2234,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Moryella   ,uncultured organism
ASV_2235,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus faecis
ASV_2236,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured rumen
ASV_2237,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_2238,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,uncultured Flavonifractor
ASV_2239,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Frisingicoccus   ,NA
ASV_2240,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Megasphaera   ,uncultured organism
ASV_2241,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Lactococcus   ,Lactococcus lactis
ASV_2242,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_2243,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,NA
ASV_2244,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales  ,Methanobacteriaceae  ,Methanobrevibacter   ,Methanobrevibacter smithii
ASV_2245,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_2246,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_2247,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Oxalobacteraceae  ,Oxalobacter   ,Oxalobacter formigenes
ASV_2248,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,NA,NA
ASV_2249,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes sp.
ASV_2250,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,NA
ASV_2251,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Lactococcus   ,Lactococcus lactis
ASV_2252,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,gut metagenome
ASV_2253,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_2254,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,NA
ASV_2255,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,metagenome 
ASV_2256,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales  ,Coriobacteriales Incertae Sedis,uncultured   ,gut metagenome
ASV_2257,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_2258,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,Butyricicoccus   ,uncultured organism
ASV_2259,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,gut metagenome
ASV_2260,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Agathobacter   ,Eubacterium ramulus
ASV_2261,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,human gut
ASV_2262,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Odoribacter   ,Odoribacter splanchnicus
ASV_2263,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,NA,NA,NA
ASV_2264,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_2265,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Acidaminococcus   ,uncultured organism
ASV_2266,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_2267,Bacteria,Firmicutes,Clostridia,NA,NA,NA,NA
ASV_2268,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus lactaris
ASV_2269,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium hallii group ,uncultured organism
ASV_2270,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus faecis
ASV_2271,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_2272,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,NA
ASV_2273,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,uncultured organism
ASV_2274,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,uncultured organism
ASV_2275,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,Paraprevotella xylaniphila
ASV_2276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,unidentified 
ASV_2277,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2278,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,NA
ASV_2279,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured organism
ASV_2280,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,Ruminococcus lactaris
ASV_2281,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_2282,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_2283,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,NA,NA
ASV_2284,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,uncultured organism
ASV_2285,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,gut metagenome
ASV_2286,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,human gut
ASV_2287,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Burkholderia sp.
ASV_2288,Bacteria,Firmicutes,Clostridia,Monoglobales  ,Monoglobaceae  ,Monoglobus   ,uncultured organism
ASV_2289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_2290,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_2291,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,gut metagenome
ASV_2292,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,NA
ASV_2293,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_2294,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Muribaculaceae  ,Muribaculaceae   ,uncultured bacterium
ASV_2295,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Paraprevotella   ,Paraprevotella xylaniphila
ASV_2296,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured organism
ASV_2297,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2298,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 9  ,uncultured organism
ASV_2299,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_2300,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,uncultured bacterium
ASV_2301,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,gut metagenome
ASV_2302,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,uncultured organism
ASV_2303,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridia vadinBB60 group,Clostridia vadinBB60 group ,uncultured bacterium
ASV_2304,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured bacterium
ASV_2305,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus agalactiae
ASV_2306,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_2307,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Holdemanella   ,uncultured bacterium
ASV_2308,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2309,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus torques group ,uncultured organism
ASV_2310,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,uncultured   ,uncultured organism
ASV_2311,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-003   ,metagenome 
ASV_2312,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,Trichuris trichiura
ASV_2313,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,gut metagenome
ASV_2314,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,Lachnospiraceae bacterium
ASV_2315,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides uniformis
ASV_2316,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_2317,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Acidaminococcus   ,uncultured organism
ASV_2318,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gauvreauii group ,uncultured Clostridiales
ASV_2319,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,Azospirillum sp.
ASV_2320,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides thetaiotaomicron
ASV_2321,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_2322,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_2323,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,Butyricicoccus   ,uncultured organism
ASV_2324,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,NA
ASV_2325,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Lactococcus   ,Lactococcus lactis
ASV_2326,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,unidentified 
ASV_2327,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Bacteroides sp.
ASV_2328,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,NA,NA
ASV_2329,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured organism
ASV_2330,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,NA
ASV_2331,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Butyricimonas   ,NA
ASV_2332,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Tyzzerella   ,unidentified 
ASV_2333,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_2334,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides intestinalis
ASV_2335,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,NA
ASV_2336,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Pasteurellaceae  ,Haemophilus   ,uncultured bacterium
ASV_2337,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_2338,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides cellulosilyticus
ASV_2339,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,gut metagenome
ASV_2340,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium aldenense
ASV_2341,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides vulgatus
ASV_2342,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Sutterellaceae bacterium
ASV_2343,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,Pseudoflavonifractor sp.
ASV_2344,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_2345,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,uncultured organism
ASV_2346,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,gut metagenome
ASV_2347,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Roseburia   ,Roseburia hominis
ASV_2348,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,human gut
ASV_2349,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2350,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,uncultured Blautia
ASV_2351,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-002   ,uncultured rumen
ASV_2352,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,NA
ASV_2353,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_2354,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae ND3007 group ,metagenome 
ASV_2355,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Carnobacterium sp.
ASV_2356,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Veillonella   ,Veillonella parvula
ASV_2357,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides plebeius
ASV_2358,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales  ,uncultured  ,uncultured   ,gut metagenome
ASV_2359,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,unidentified 
ASV_2360,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium eligens group ,uncultured organism
ASV_2361,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospira   ,uncultured organism
ASV_2362,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Burkholderia sp.
ASV_2363,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes obesi
ASV_2364,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Tyzzerella   ,Tyzzerella sp.
ASV_2365,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,uncultured bacterium
ASV_2366,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella 7  ,Massiliprevotella massiliensis
ASV_2367,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,Clostridium sp.
ASV_2368,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,Blautia stercoris
ASV_2369,Bacteria,Firmicutes,Negativicutes,Acidaminococcales  ,Acidaminococcaceae  ,Phascolarctobacterium   ,uncultured organism
ASV_2370,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Prevotellaceae  ,Prevotella   ,NA
ASV_2371,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides cellulosilyticus
ASV_2372,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus salivarius
ASV_2373,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,Dialister sp.
ASV_2374,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae ND3007 group ,metagenome 
ASV_2375,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_2376,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Sellimonas   ,uncultured bacterium
ASV_2377,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2378,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,uncultured organism
ASV_2379,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales  ,Victivallaceae  ,Victivallis   ,uncultured bacterium
ASV_2380,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,uncultured prokaryote
ASV_2381,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides goldsteinii
ASV_2382,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,CAG-352   ,uncultured bacterium
ASV_2383,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,uncultured bacterium
ASV_2384,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,NA
ASV_2385,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Veillonella   ,Veillonella parvula
ASV_2386,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Tannerellaceae  ,Parabacteroides   ,Parabacteroides distasonis
ASV_2387,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_2388,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Marinifilaceae  ,Odoribacter   ,Odoribacter splanchnicus
ASV_2389,Bacteria,Firmicutes,Clostridia,Christensenellales  ,Christensenellaceae  ,Christensenellaceae R-7 group ,gut metagenome
ASV_2390,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,Sutterellaceae bacterium
ASV_2391,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Oscillibacter   ,human gut
ASV_2392,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-004  ,uncultured organism
ASV_2393,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Muribaculaceae  ,Muribaculaceae   ,uncultured bacterium
ASV_2394,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Butyricicoccaceae  ,Butyricicoccus   ,uncultured organism
ASV_2395,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Coprococcus   ,metagenome 
ASV_2396,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae NK4A136 group ,NA
ASV_2397,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,gut metagenome
ASV_2398,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Rikenellaceae  ,Alistipes   ,Alistipes finegoldii
ASV_2399,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_2400,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Dorea   ,uncultured Dorea
ASV_2401,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Listeriaceae  ,Listeria   ,Listeria innocua
ASV_2402,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Eubacterium ruminantium group ,gut metagenome
ASV_2403,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,UCG-005   ,gut metagenome
ASV_2404,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales  ,Veillonellaceae  ,Dialister   ,NA
ASV_2405,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,gut metagenome
ASV_2406,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium asparagiforme
ASV_2407,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Ruminococcus gnavus group ,uncultured bacterium
ASV_2408,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,uncultured   ,uncultured organism
ASV_2409,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Pasteurellaceae  ,Haemophilus   ,uncultured bacterium
ASV_2410,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,gut metagenome
ASV_2411,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales  ,Bifidobacteriaceae  ,Bifidobacterium   ,Bifidobacterium longum
ASV_2412,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales  ,Sutterellaceae  ,Sutterella   ,gut metagenome
ASV_2413,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,uncultured   ,Clostridium sp.
ASV_2414,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales  ,Akkermansiaceae  ,Akkermansia   ,uncultured bacterium
ASV_2415,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales  ,Enterobacteriaceae  ,Escherichia-Shigella   ,Shigella flexneri
ASV_2416,Bacteria,Firmicutes,NA,NA,NA,NA,NA
ASV_2417,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Barnesiellaceae  ,Barnesiella   ,uncultured organism
ASV_2418,Bacteria,Firmicutes,Bacilli,Bacillales  ,Bacillaceae  ,Bacillus   ,NA
ASV_2419,Bacteria,Firmicutes,Bacilli,Lactobacillales  ,Streptococcaceae  ,Streptococcus   ,Streptococcus oralis
ASV_2420,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Colidextribacter   ,gut metagenome
ASV_2421,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Incertae Sedis  ,Carnobacterium sp.
ASV_2422,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,NA
ASV_2423,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides ovatus
ASV_2424,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Eubacterium coprostanoligenes group,Eubacterium coprostanoligenes group ,gut metagenome
ASV_2425,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnospiraceae UCG-010  ,uncultured organism
ASV_2426,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Eubacterium siraeum group ,Eubacterium siraeum
ASV_2427,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Ruminococcaceae  ,Faecalibacterium   ,NA
ASV_2428,Bacteria,Firmicutes,Bacilli,Erysipelotrichales  ,Erysipelotrichaceae  ,Clostridium innocuum group ,uncultured bacterium
ASV_2429,Bacteria,Firmicutes,Clostridia,Oscillospirales  ,Oscillospiraceae  ,Intestinimonas   ,NA
ASV_2430,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Muribaculaceae  ,Muribaculaceae   ,uncultured bacterium
ASV_2431,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales  ,Bacteroidaceae  ,Bacteroides   ,Bacteroides thetaiotaomicron
ASV_2432,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Lachnoclostridium   ,Clostridium glycyrrhizinilyticum
ASV_2433,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales  ,Gastranaerophilales  ,Gastranaerophilales   ,Acinetobacter sp.
ASV_2434,Bacteria,Firmicutes,Clostridia,Lachnospirales  ,Lachnospiraceae  ,Blautia   ,Blautia caecimuris
ASV_2435,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014 ,Clostridia UCG-014 ,Clostridia UCG-014  ,gut metagenome
